Incidenct Code;Customer Company Group;Customer Company;Creation Date-Time;Resolution Date-Time;Incident Status;Incident Description;Support Group;Tower Group;Domain Group;Priority;Resolution Description;Assigned Organization;Inc. Category;Last Modified Date;Inc. Type;Inc. Element;Aging (Days);Localización Cliente;Departamento Cliente
INC000001000295;IBERIA;IBERIA;01/03/2018 02:29;;Assigned;LINUX_sun - bdopsl1.ib : En el Filesystem backup se están usando el 97.64% de los Inodos;DBA-Server-Support;Server Tower;Server Tower;Media;;Unidad de Operaciones Ordenadores;INCIDENT;01/03/2018;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000001000292;IBERIA;IBERIA;01/03/2018 01:30;;In Progress;Escalado Alerta: status=Open mc_priority=5 - Lowest mc_owner= date_reception=1/03/18 0:58 severity=;WINDOWS ES;Server Tower;Server Tower;Baja;;Unidad de Operaciones Ordenadores;INCIDENT;01/03/2018;PERFORMANCE ISSUE;;0;MANDOS;U.OPERACIONES ORDENADORES (ASXA00)
INC000001000291;IBERIA;IBERIA;01/03/2018 00:55;;Assigned;ALERTA-CRI ERROR CRITICO EN ROBOT BATCH (Proceso: Emision EURO ET1);AM_MTO_IBCOM;Application Tower;Ib.com;Media;;MANTENIMIENTO IB.COM;INCIDENT;01/03/2018;SOFTWARE FAILURE;APPLICATION ERROR;0;MANDOS;
INC000001000289;IBERIA;IBERIA;28/02/2018 23:22;;Assigned;Escalado Alerta: ERRORES EN SERVICIO DE REACOM ERRORES EN SERVICIO DE REACOM. Por favor avisar OnC;SAPAS;Application Tower;PSS;Baja;;Mantenimiento Pasaje;INCIDENT;28/02/2018;PERFORMANCE ISSUE;;1;MANDOS;U.OPERACIONES ORDENADORES (ASXA00)
INC000001000288;IBERIA;IBERIA;28/02/2018 23:22;;Pending;ZCZC 5154 02282155 QD MADEJIB GRXKQIB .GRXKQIB 282155 FEB18/AGNT9145/PID25806 BUENAS NOCHES DE NU;CDV;Application Tower;FLIGHT OPERATIONS;Baja;ACCIONES: Se desconecta el vuelo de CKI para poder cerrar PDA y se inclyen los pasajeros embarcados.;Mantenimiento Operaciones;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000001000286;IBERIA;IBERIA;28/02/2018 22:58;;Assigned;LINUX_sun - In the last 3600 seconds there are more than 100 traces with elapsed time over 60 second;SERVICIOS_CKI_GAR;Delivery;Delivery;Media;;MANTENIMIENTO IB.COM;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000001000282;IBERIA;IBERIA;28/02/2018 22:50;;Assigned;[CKI Online] PROBLEMAS CON EL CHECK IN WEB DE P9;AM_MTO_IBCOM;Application Tower;Ib.com;Media;;MANTENIMIENTO IB.COM;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000281;IBERIA;IBERIA;28/02/2018 22:57;;Assigned;Fallo en Iberia Now;MOVILIDAD;Application Tower;Movilidad;Media;;Mantenimiento Movilidad;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;TERMINAL T4;U.A.C._INC.PASAJ._SPV (AHMDS07V)
INC000001000280;IBERIA;IBERIA;28/02/2018 22:31;;Assigned;Customers First: SALESFORCE CON FF-9160827;Soporte Externo Salesforce Service;Delivery;Delivery;Media;;Mantenimiento Comercial y CRM;INCIDENT;28/02/2018;ACCESS FAILURE;;1;SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL);MANAGER CLIENTES ALTO VAL (ALCO00)
INC000001000275;IBERIA;IBERIA;28/02/2018 22:05;;Assigned;LISTAS TARIC-ROC PARA AWB 075-92976796 MAD-MIA;USV_NON_SAP_APPS;Application Tower;Mantenimiento Dir. Técnica – MRO;Media;;Mantenimiento Dir. Técnica;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000271;IBERIA;IBERIA;28/02/2018 22:26;;Assigned;INCIDENCIA LISTAS TARIC-ROC PARA AWB 075-92978480 MAD-JFK / 075-92979423;USV_NON_SAP_APPS;Application Tower;Mantenimiento Dir. Técnica – MRO;Media;;Mantenimiento Dir. Técnica;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR;
INC000001000270;IBERIA;IBERIA;28/02/2018 21:59;;Assigned;Propuesta Desplazamiento da error;JAVA Apps Support;Application Tower;RRHH;Baja;;Mantenimiento Corporativa y RRHH;INCIDENT;28/02/2018;SOFTWARE FAILURE;;1;SIN IDENTIFICAR (SAN JOSE DE COSTA RICA);P.LOC.GER.CENTRAMER.C.RIC (AMNLR0ZL)
INC000001000269;IBERIA;IBERIA;28/02/2018 21:51;;Assigned;KM: AOY5021001401 - *EL PAPEL SE ATASCA CONTINUAMENTE;Soporte KONIKA/MINOLTA;KONICA;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;PRINTING FAILURE;;1;SIN IDENTIFICAR (MADRID BARAJAS);T.C.MAD- DOCUM. (AGDM00MA)
INC000001000268;IBERIA;IBERIA;28/02/2018 21:57;;Assigned;LINUX_sun - apcrm3 : Proceso siebsvc_siebsrvr Parado. Avisar a OnCall de CRM.;NIIT_MTO_CRM;Application Tower;Comercial y CRM;Baja;;Mantenimiento Comercial y CRM;INCIDENT;28/02/2018;SOFTWARE FAILURE;APPLICATION ERROR;1;MANDOS;
INC000001000264;IBERIA;IBERIA;28/02/2018 21:40;;Assigned;IMPRESORA DESCONFIGURADA;IAG EUC Remote Support;EUC;EUC;Baja;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;PRINTING FAILURE;;1;IBZ AEROPUERTO;TRAFICO IBIZA (AHAKISAP)
INC000001000257;IBERIA;IBERIA;28/02/2018 22:21;;Assigned;[SEG010] Usuario fallo sincronía;MICROSOFT OFFICE365;EUC;EUC;Media;;Unidad de Instalaciones y Telecomunicaciones;INCIDENT;28/02/2018;ACCESS FAILURE;PASSWORD;1;SIN IDENTIFICAR (MADRID BARAJAS);T.C.MAD- OPER. (AGDM00MB)
